"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Évacuation de collection de l'articulation coxofémorale, par arthrotomie";"239,49"
"";"anesthésie";"125,63"
"";"Évacuation de collection périprothétique de l'articulation coxofémorale, par arthrotomie";"235,82"
"";"anesthésie";"128,58"
"";"Réduction orthopédique progressive d'une hanche instable non traumatique par traction, avant l'âge de 12 mois";"321,77"
"";"Réduction orthopédique progressive d'une hanche instable non traumatique par traction, après l'âge de 12 mois";"368,64"
"";"Réduction orthopédique progressive d'une hanche instable non traumatique par harnais";"309,43"
"";"Réduction orthopédique d'une luxation traumatique de l'articulation coxofémorale, avec pose de traction continue";"83,60"
"";"anesthésie";"65,98"
"";"Réduction orthopédique d'une luxation traumatique de l'articulation coxofémorale, avec contention par appareillage rigide pelvipédieux";"114,95"
"";"anesthésie";"77,35"
"";"Réduction orthopédique d'une luxation traumatique de l'articulation coxofémorale, avec fracture ou décollement épiphysaire de la tête du fémur";"209,00"
"";"anesthésie";"86,33"
"";"Réduction orthopédique d'une luxation de prothèse de l'articulation coxofémorale";"83,60"
"";"anesthésie";"65,24"
"";"Réduction d'une hanche instable non traumatique, par arthrotomie";"393,61"
"";"anesthésie";"170,68"
"";"Réduction d'une luxation traumatique de l'articulation coxofémorale, par arthrotomie";"224,71"
"";"anesthésie";"117,22"
"";"Réduction d'une luxation traumatique de l'articulation coxofémorale avec ostéosynthèse de fracture de la tête du fémur, par arthrotomie";"478,98"
"";"anesthésie";"228,18"
"";"Réduction d'une luxation de prothèse de l'articulation coxofémorale, par arthrotomie";"209,00"
"";"anesthésie";"111,72"
"";"Nettoyage de l'articulation coxofémorale, par arthroscopie";"171,92"
"";"anesthésie";"94,57"
"";"Nettoyage de l'articulation coxofémorale, par arthrotomie";"251,51"
"";"anesthésie";"127,46"
"";"Arthrodèse coxofémorale, par arthrotomie";"491,50"
"";"anesthésie";"176,53"
"";"Ostéoplastie supraacétabulaire de l'os coxal par butée, ou acétabuloplastie";"315,33"
"";"anesthésie";"149,46"
"";"Ostéoplastie supraacétabulaire de l'os coxal par butée, avec ostéotomie extraarticulaire de l'extrémité proximale du fémur";"462,18"
"";"anesthésie";"187,14"
"";"Ostéoplastie supraacétabulaire de l'os coxal par butée, avec ostéotomie du grand trochanter";"418,00"
"";"anesthésie";"177,65"
"";"Stabilisation d'une prothèse totale de l'articulation coxofémorale par pose de butée supraacétabulaire en matériau inerte, abaissement du grand trochanter et/ou changement de la tête ou du col amovible";"418,00"
"";"anesthésie";"183,85"
"";"Acétabuloplastie avec ostéotomie du fémur";"527,97"
"";"anesthésie";"219,41"
"";"Arthroplastie coxofémorale par cupule fémorale";"355,37"
"";"anesthésie";"167,75"
"";"Remplacement de l'articulation coxofémorale par prothèse fémorale cervicocéphalique";"313,50"
"";"anesthésie";"161,15"
"";"Remplacement de l'articulation coxofémorale par prothèse fémorale cervicocéphalique et cupule mobile";"459,80"
"";"anesthésie";"229,90"
"";"Pose d'une pièce acétabulaire chez un patient porteur d'une prothèse fémorale cervicocéphalique homolatérale";"355,37"
"";"anesthésie";"146,30"
"";"Remplacement de l'articulation coxofémorale par prothèse totale";"459,80"
"";"anesthésie";"229,90"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec reconstruction acétabulaire ou fémorale par greffe";"577,76"
"";"anesthésie";"253,90"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec renfort métallique acétabulaire";"543,40"
"";"anesthésie";"253,90"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec renfort métallique acétabulaire et reconstruction fémorale par greffe";"590,52"
"";"anesthésie";"253,90"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec ostéotomie de la diaphyse du fémur";"616,55"
"";"anesthésie";"292,60"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec abaissement de la tête du fémur dans le paléoacétabulum [paléocotyle]";"639,18"
"";"anesthésie";"292,60"
"";"Remplacement de l'articulation coxofémorale par prothèse totale, avec abaissement de la tête du fémur dans le paléoacétabulum [paléocotyle] et ostéotomie de réaxation ou d'alignement du fémur";"687,45"
"";"anesthésie";"292,60"
"";"Remplacement de l'articulation coxofémorale par prothèse totale après ostéosynthèse, ostéotomie ou prothèse cervicocéphalique du fémur";"667,08"
"";"anesthésie";"353,58"
"";"Remplacement de l'articulation coxofémorale par prothèse totale après arthrodèse coxofémorale";"614,65"
"";"anesthésie";"282,15"
"";"Remplacement de l'articulation coxofémorale par prothèse totale après arthrodèse coxofémorale, avec renfort métallique acétabulaire";"648,37"
"";"anesthésie";"283,82"
"";"Ablation de l'insert intermédiaire d'une prothèse de l'articulation coxofémorale, avec pose d'une pièce acétabulaire";"357,84"
"";"anesthésie";"146,30"
"";"Ablation d'une prothèse fémorale cervicocéphalique";"353,58"
"";"anesthésie";"186,38"
"";"Ablation d'une prothèse totale de hanche";"385,37"
"";"anesthésie";"186,38"
"";"Ablation d'une prothèse totale de hanche avec coaptation trochantéro-iliaque";"563,05"
"";"anesthésie";"276,54"
"";"Ablation d'une prothèse totale de hanche avec reconstruction osseuse de l'acétabulum et/ou du fémur";"512,88"
"";"anesthésie";"251,98"
"";"Changement d'une prothèse fémorale cervicocéphalique pour une prothèse totale de hanche";"667,08"
"";"anesthésie";"353,58"
"";"Changement de l'insert acétabulaire d'une prothèse totale de hanche";"667,08"
"";"anesthésie";"269,98"
"";"Changement de la pièce acétabulaire ou fémorale d'une prothèse totale de hanche, sans reconstruction osseuse";"538,66"
"";"anesthésie";"269,98"
"";"Changement de la pièce acétabulaire ou fémorale d'une prothèse totale de hanche, avec reconstruction osseuse de l'acétabulum ou du fémur";"534,96"
"";"anesthésie";"331,13"
"";"Changement de la pièce acétabulaire ou fémorale d'une prothèse totale de hanche, avec reconstruction osseuse par greffes compactées sans ostéosynthèse";"644,76"
"";"anesthésie";"348,72"
"";"Changement de la pièce acétabulaire ou fémorale d'une prothèse totale de hanche, avec ostéosynthèse de l'acétabulum ou du fémur";"608,98"
"";"anesthésie";"287,14"
"";"Changement des pièces acétabulaire et fémorale d'une prothèse totale de hanche, sans reconstruction osseuse";"709,90"
"";"anesthésie";"353,58"
"";"Changement des pièces acétabulaire et fémorale d'une prothèse totale de hanche, avec reconstruction ou ostéosynthèse de l'acétabulum ou du fémur";"745,68"
"";"anesthésie";"402,53"
"";"Changement des pièces acétabulaire et fémorale d'une prothèse totale de hanche, avec reconstruction et ostéosynthèse de l'acétabulum et/ou du fémur";"860,82"
"";"anesthésie";"408,03"
"";"Changement des pièces acétabulaire et fémorale d'une prothèse totale de hanche, avec reconstruction par greffes compactées sans ostéosynthèse";"807,35"
"";"anesthésie";"394,10"
"";"Repose d'une prothèse totale de l'articulation coxofémorale, sans reconstruction osseuse";"508,93"
"";"anesthésie";"229,90"
"";"Repose d'une prothèse totale de l'articulation coxofémorale, avec reconstruction osseuse";"627,11"
"";"anesthésie";"302,38"
"";"Résection de l'articulation coxofémorale avec coaptation trochantéro-iliaque ou fémoro-iliaque";"411,71"
"";"anesthésie";"191,22"
"";"Reconstruction osseuse de la hanche après résection en bloc de l'os coxal [hémibassin], avec fixation du fémur à l'os coxal";"489,84"
"";"anesthésie";"267,11"
"";"Reconstruction de l'articulation coxofémorale par prothèse massive ou sur mesure, après perte de substance segmentaire au niveau de la hanche ou de l'os coxal";"491,66"
"";"anesthésie";"229,90"
"";"Libération mobilisatrice de l'articulation coxofémorale, par arthrotomie";"255,97"
"";"anesthésie";"117,96"
"";"Synovectomie coxofémorale, par arthroscopie";"289,28"
"";"anesthésie";"130,05"
"";"Synovectomie coxofémorale, par arthrotomie par un abord";"236,23"
"";"anesthésie";"115,02"
"";"Synovectomie coxofémorale, par arthrotomie par 2 abords dont un abord postérieur";"322,59"
"";"anesthésie";"141,78"
"";"Mobilisation de l'articulation du genou à visée thérapeutique, sous anesthésie générale ou locorégionale";"41,38"
"";"anesthésie";"48,00"
"";"Évacuation de collection de l'articulation du genou, par arthroscopie";"164,10"
"";"anesthésie";"76,24"
"";"Évacuation de collection de l'articulation du genou, par arthrotomie";"174,03"
"";"anesthésie";"88,68"
"";"Réduction orthopédique d'une luxation de la patelle";"39,07"
"";"Réduction orthopédique d'une luxation ou d'une luxation-fracture de l'articulation fémorotibiale";"76,22"
"";"anesthésie";"61,22"
"";"Nettoyage de l'articulation du genou, par arthroscopie";"154,24"
"";"anesthésie";"86,88"
"";"Nettoyage de l'articulation du genou, par arthrotomie";"161,29"
"";"anesthésie";"99,68"
"";"Arthrodèse fémorotibiale, par arthrotomie";"367,41"
"";"anesthésie";"135,18"
"";"Arthrodèse fibulotibiale proximale, par arthrotomie";"148,07"
"";"anesthésie";"90,91"
"";"Remplacement de l'articulation du genou par prothèse à charnière fixe ou rotatoire";"544,31"
"";"anesthésie";"210,25"
"";"Remplacement de l'articulation du genou par prothèse unicompartimentaire fémorotibiale ou fémoropatellaire";"434,63"
"";"anesthésie";"188,10"
"";"Remplacement de l'articulation du genou par prothèse tricompartimentaire sur une déformation inférieure ou égale à 10° dans le plan frontal";"555,00"
"";"anesthésie";"218,66"
"";"Remplacement de l'articulation du genou par prothèse tricompartimentaire sur une déformation supérieure à 10° dans le plan frontal";"601,89"
"";"anesthésie";"217,92"
"";"Ablation d'une prothèse du genou";"344,15"
"";"anesthésie";"140,73"
"";"Ablation d'une prothèse du genou avec arthrodèse";"465,49"
"";"anesthésie";"176,58"
"";"Changement de l'insert d’une prothèse unicompartimentaire ou tricompartimentaire du genou";"323,09"
"";"anesthésie";"124,24"
"";"Changement d'une prothèse unicompartimentaire du genou";"532,09"
"";"anesthésie";"247,39"
"";"Changement d'une prothèse unicompartimentaire du genou pour une prothèse tricompartimentaire";"577,62"
"";"anesthésie";"234,06"
"";"Changement d'une prothèse tricompartimentaire du genou, sans reconstruction osseuse";"649,17"
"";"anesthésie";"250,92"
"";"Changement d'une prothèse tricompartimentaire du genou, avec reconstruction osseuse";"816,54"
"";"anesthésie";"324,25"
"";"Repose d'une prothèse articulaire du genou, sans reconstruction osseuse";"533,73"
"";"anesthésie";"221,97"
"";"Repose d'une prothèse articulaire du genou, avec reconstruction osseuse";"626,83"
"";"anesthésie";"242,31"
"";"Reconstruction osseuse du genou après perte de substance segmentaire, avec arthrodèse et ostéosynthèse";"422,68"
"";"anesthésie";"205,38"
"";"Reconstruction de l'articulation du genou par prothèse massive ou sur mesure, après perte de substance segmentaire";"522,50"
"";"anesthésie";"227,11"
"";"Libération mobilisatrice de l'articulation du genou, par arthroscopie";"243,76"
"";"anesthésie";"80,64"
"";"Libération mobilisatrice de l'articulation du genou, par arthrotomie";"228,54"
"";"anesthésie";"78,44"
"";"Libération mobilisatrice de l'articulation du genou par arthroscopie ou arthrotomie, avec libération complète du quadriceps";"378,67"
"";"anesthésie";"103,01"
"";"Synovectomie antérieure du genou, par arthroscopie";"203,87"
"";"anesthésie";"76,97"
"";"Synovectomie antérieure du genou, par arthrotomie";"189,48"
"";"anesthésie";"73,68"
"";"Synovectomie antérieure du genou par arthroscopie avec synovectomie postérieure par arthrotomie, sans changement de position";"268,02"
"";"anesthésie";"89,80"
"";"Synovectomie du genou, par arthroscopie antérieure et par arthroscopie postérieure";"260,62"
"";"anesthésie";"89,08"
"";"Synovectomie du genou, par arthrotomie antérieure et par arthrotomie postérieure sans changement de position du patient";"237,59"
"";"anesthésie";"83,58"
"";"Synovectomie du genou, par arthrotomie antérieure et par arthrotomie postérieure avec changement de position du patient";"332,99"
"";"anesthésie";"106,30"
"";"Suture ou réinsertion du ligament croisé antérieur du genou, par arthroscopie";"311,41"
"";"anesthésie";"135,85"
"";"Suture ou réinsertion du ligament croisé antérieur du genou, par arthrotomie";"311,41"
"";"anesthésie";"135,85"
"";"Suture ou réinsertion du ligament croisé antérieur et d'élément capsuloligamentaire périarticulaire du genou, par arthrotomie";"395,01"
"";"anesthésie";"172,43"
"";"Suture ou réinsertion du ligament croisé postérieur du genou, par arthroscopie";"361,48"
"";"anesthésie";"135,85"
"";"Suture ou réinsertion du ligament croisé postérieur du genou, par arthrotomie";"316,26"
"";"anesthésie";"135,85"
"";"Suture ou réinsertion du ligament croisé postérieur et d'élément capsuloligamentaire périarticulaire du genou, par arthrotomie";"395,01"
"";"anesthésie";"172,43"
"";"Suture ou réinsertion des ligaments croisés et d'élément capsuloligamentaire périarticulaire du genou, par arthrotomie";"428,67"
"";"anesthésie";"172,43"
"";"Reconstruction du ligament croisé antérieur du genou par autogreffe, par arthroscopie";"388,62"
"";"anesthésie";"135,85"
"";"Reconstruction du ligament croisé antérieur du genou par autogreffe, par arthrotomie";"344,63"
"";"anesthésie";"135,85"
"";"Reconstruction du ligament croisé postérieur du genou par autogreffe sans renforcement synthétique, par arthroscopie";"434,69"
"";"anesthésie";"141,74"
"";"Reconstruction du ligament croisé postérieur du genou par autogreffe sans renforcement synthétique, par arthrotomie";"385,75"
"";"anesthésie";"135,85"
"";"Reconstruction itérative du ligament croisé postérieur du genou par ligament synthétique, par arthroscopie";"369,71"
"";"anesthésie";"135,85"
"";"Reconstruction itérative du ligament croisé postérieur du genou par ligament synthétique, par arthrotomie";"333,94"
"";"anesthésie";"135,85"
"";"Reconstruction des ligaments croisés du genou, par arthroscopie";"510,76"
"";"anesthésie";"152,37"
"";"Reconstruction des ligaments croisés du genou, par arthrotomie";"459,36"
"";"anesthésie";"142,46"
"";"Suture ou réinsertion de la capsule articulaire du genou, par abord direct";"189,48"
"";"anesthésie";"93,04"
"";"Capsulo-myo-ténoplastie du genou pour recentrage de la patelle, par arthrotomie";"202,63"
"";"anesthésie";"81,31"
"";"Plastie ligamentaire extraarticulaire latérale du genou avec le fascia lata, par abord direct";"194,00"
"";"anesthésie";"97,07"
"";"Section du rétinaculum patellaire latéral [aileron rotulien externe], par arthroscopie";"130,39"
"";"anesthésie";"65,24"
"";"Section du rétinaculum patellaire latéral [aileron rotulien externe], par arthrotomie";"125,40"
"";"anesthésie";"61,58"
"";"Section du rétinaculum patellaire latéral [aileron rotulien externe] avec ostéotomie de la surface patellaire [trochlée] du fémur, par arthrotomie";"313,50"
"";"anesthésie";"149,40"
"";"Méniscectomie latérale ou médiale du genou, par arthroscopie";"181,26"
