"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"R03CB53"	"ORCIPRENALINE, COMBINATIONS"	"ORCIPRENALINE EN ASSOCIATION"
"R03CC"	"SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS"	"AGONISTES SELECTIFS BETA 2 ADRENERGIQUES"
"R03CC02"	"SALBUTAMOL"	"SALBUTAMOL"
"R03CC03"	"TERBUTALINE"	"TERBUTALINE"
"R03CC04"	"FENOTEROL"	"FENOTEROL"
"R03CC05"	"HEXOPRENALINE"	"HEXOPRENALINE"
"R03CC06"	"ISOETARINE"	"ISOETARINE"
"R03CC07"	"PIRBUTEROL"	"PIRBUTEROL"
"R03CC08"	"PROCATEROL"	"PROCATEROL"
"R03CC09"	"TRETOQUINOL"	"TRETOQUINOL"
"R03CC10"	"CARBUTEROL"	"CARBUTEROL"
"R03CC11"	"TULOBUTEROL"	"TULOBUTEROL"
"R03CC12"	"BAMBUTEROL"	"BAMBUTEROL"
"R03CC13"	"CLENBUTEROL"	"CLENBUTEROL"
"R03CC14"	"REPROTEROL"	"REPROTEROL"
"R03CC53"	"TERBUTALINE, COMBINATIONS"	"TERBUTALINE EN ASSOCIATION"
"R03CK"	"ADRENERGICS AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"ADRENERGIQUES ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03D"	"OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"AUTRES MEDICAMENTS SYSTEMIQUES POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03DA"	"XANTHINES"	"XANTHINES"
"R03DA01"	"DIPROPHYLLINE"	"DIPROPHYLLINE"
"R03DA02"	"CHOLINE THEOPHYLLINATE"	"THEOPHYLLINATE DE CHOLINE"
"R03DA03"	"PROXYPHYLLINE"	"PROXYPHYLLINE"
"R03DA04"	"THEOPHYLLINE"	"THEOPHYLLINE"
"R03DA05"	"AMINOPHYLLINE"	"AMINOPHYLLINE"
"R03DA06"	"ETAMIPHYLLINE"	"ETAMIPHYLLINE"
"R03DA07"	"THEOBROMINE"	"THEOBROMINE"
"R03DA08"	"BAMIFYLLINE"	"BAMIFYLLINE"
"R03DA09"	"ACEFYLLINE PIPERAZINE"	"ACEFYLLINE PIPERAZINE"
"R03DA10"	"BUFYLLINE"	"BUFYLLINE"
"R03DA11"	"DOXOFYLLINE"	"DOXOFYLLINE"
"R03DA20"	"COMBINATIONS OF XANTHINES"	"ASSOCIATIONS DE XANTHINES"
"R03DA51"	"DIPROPHYLLINE, COMBINATIONS"	"DIPROPHYLLINE EN ASSOCIATION"
"R03DA54"	"THEOPHYLLINE, COMBINATIONS EXCL. PSYCHOLEPTICS"	"THEOPHYLLINE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES"
"R03DA55"	"AMINOPHYLLINE, COMBINATIONS"	"AMINOPHYLLINE EN ASSOCIATION"
"R03DA57"	"THEOBROMINE, COMBINATIONS"	"THEOBROMINE EN ASSOCIATION"
"R03DA74"	"THEOPHYLLINE, COMBINATIONS WITH PSYCHOLEPTICS"	"THEOPHYLLINE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"R03DB"	"XANTHINES AND ADRENERGICS"	"XANTHINES ET ADRENERGIQUES"
"R03DB01"	"DIPROPHYLLINE AND ADRENERGICS"	"DIPROPHYLLINE ET ADRENERGIQUES"
"R03DB02"	"CHOLINE THEOPHYLLINATE AND ADRENERGICS"	"THEOPHYLLINATE DE CHOLINE ET ADRENERGIQUES"
"R03DB03"	"PROXYPHYLLINE AND ADRENERGICS"	"PROXYPHYLLINE ET ADRENERGIQUES"
"R03DB04"	"THEOPHYLLINE AND ADRENERGICS"	"THEOPHYLLINE ET ADRENERGIQUES"
"R03DB05"	"AMINOPHYLLINE AND ADRENERGICS"	"AMINOPHYLLINE ET ADRENERGIQUES"
"R03DB06"	"ETAMIPHYLLINE AND ADRENERGICS"	"ETAMIPHYLLINE ET ADRENERGIQUES"
"R03DC"	"LEUKOTRIENE RECEPTOR ANTAGONISTS"	"ANTAGONISTES DES RECEPTEURS AUX LEUCOTRIENES"
"R03DC01"	"ZAFIRLUKAST"	"ZAFIRLUKAST"
"R03DC02"	"PRANLUKAST"	"PRANLUKAST"
"R03DC03"	"MONTELUKAST"	"MONTELUKAST"
"R03DC04"	"IBUDILAST"	"IBUDILAST"
"R03DX"	"OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"AUTRES MEDICAMENTS SYSTEMIQUES POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03DX01"	"AMLEXANOX"	"AMLEXANOX"
"R03DX02"	"EPROZINOL"	"EPROZINOL"
"R03DX03"	"FENSPIRIDE"	"FENSPIRIDE"
"R03DX04"	"IBUDILAST"	"IBUDILAST"
"R03DX05"	"OMALIZUMAB"	"OMALIZUMAB"
"R03DX06"	"SERATRODAST"	"SERATRODAST"
"R05"	"COUGH AND COLD PREPARATIONS"	"MEDICAMENTS DU RHUME ET DE LA TOUX"
"R05C"	"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"	"EXPECTORANTS, SAUF ASSOCIATIONS AUX ANTITUSSIFS"
"R05CA"	"EXPECTORANTS"	"EXPECTORANTS"
"R05CA01"	"TYLOXAPOL"	"TYLOXAPOL"
"R05CA02"	"POTASSIUM IODIDE"	"IODURE DE POTASSIUM"
"R05CA03"	"GUAIFENESIN"	"GUAÏFENESINE"
"R05CA04"	"IPECACUANHA"	"IPECACUANHA"
"R05CA05"	"ALTHEA ROOT"	"GUIMAUVE RACINE"
"R05CA06"	"SENEGA"	"POLYGALA"
"R05CA07"	"ANTIMONY PENTASULFIDE"	"PENTASULFURE D'ANTIMOINE"
"R05CA08"	"CREOSOTE"	"CREOSOTE"
"R05CA09"	"GUAIACOLSULFONATE"	"GUAÏACOLSULFONATE"
"R05CA10"	"COMBINATIONS"	"ASSOCIATIONS"
"R05CA11"	"LEVOVERBENONE"	"LEVOVERBENONE"
"R05CB"	"MUCOLYTICS"	"MUCOLYTIQUES"
"R05CB01"	"ACETYLCYSTEINE"	"ACETYLCYSTEINE"
"R05CB02"	"BROMHEXINE"	"BROMHEXINE"
"R05CB03"	"CARBOCISTEINE"	"CARBOCISTEINE"
"R05CB04"	"EPRAZINONE"	"EPRAZINONE"
"R05CB05"	"MESNA"	"MESNA"
"R05CB06"	"AMBROXOL"	"AMBROXOL"
"R05CB07"	"SOBREROL"	"SOBREROL"
"R05CB08"	"DOMIODOL"	"DOMIODOL"
"R05CB09"	"LETOSTEINE"	"LETOSTEINE"
"R05CB10"	"COMBINATIONS"	"ASSOCIATIONS"
"R05CB11"	"STEPRONIN"	"STEPRONINE"
"R05CB12"	"TIOPRONIN"	"TIOPRONINE"
"R05CB13"	"DORNASE ALFA (DESOXYRIBONUCLEASE)"	"DORNASE ALPHA (DESOXYRIBONUCLEASE)"
"R05CB14"	"NELTENEXINE"	"NELTENEXINE"
"R05CB15"	"ERDOSTEINE"	"ERDOSTEINE"
"R05D"	"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"	"ANTITUSSIFS, SAUF ASSOCIATIONS AUX EXPECTORANTS"
"R05DA"	"OPIUM ALKALOIDS AND DERIVATIVES"	"ALCALOÏDES DE L'OPIUM ET DERIVES"
"R05DA01"	"ETHYLMORPHINE"	"ETHYLMORPHINE"
"R05DA03"	"HYDROCODONE"	"HYDROCODONE"
"R05DA04"	"CODEINE"	"CODEINE"
"R05DA05"	"OPIUM ALKALOIDS WITH MORPHINE"	"ALCALOÏDES DE L'OPIUM AVEC MORPHINE"
"R05DA06"	"NORMETHADONE"	"NORMETHADONE"
"R05DA07"	"NOSCAPINE"	"NOSCAPINE"
"R05DA08"	"PHOLCODINE"	"PHOLCODINE"
"R05DA09"	"DEXTROMETHORPHAN"	"DEXTROMETHORPHANE"
"R05DA10"	"THEBACON"	"THEBACON"
"R05DA11"	"DIMEMORFAN"	"DIMEMORFAN"
"R05DA20"	"COMBINATIONS"	"ASSOCIATIONS"
"R05DB"	"OTHER COUGH SUPPRESSANTS"	"AUTRES ANTITUSSIFS"
"R05DB01"	"BENZONATATE"	"BENZONATATE"
"R05DB02"	"BENPROPERINE"	"BENPROPERINE"
"R05DB03"	"CLOBUTINOL"	"CLOBUTINOL"
"R05DB04"	"ISOAMINILE"	"ISOAMINILE"
"R05DB05"	"PENTOXYVERINE"	"PENTOXYVERINE"
"R05DB07"	"OXOLAMINE"	"OXOLAMINE"
"R05DB09"	"OXELADIN"	"OXELADINE"
"R05DB10"	"CLOFEDANOL"	"CLOFEDANOL"
"R05DB11"	"PIPAZETATE"	"PIPAZETATE"
"R05DB12"	"BIBENZONIUM BROMIDE"	"BROMURE DE BIBENZONIUM"
"R05DB13"	"BUTAMIRATE"	"BUTAMIRATE"
"R05DB14"	"FEDRILATE"	"FEDRILATE"
"R05DB15"	"ZIPEPROL"	"ZIPEPROL"
"R05DB16"	"DIBUNATE"	"DIBUNATE"
"R05DB17"	"DROXYPROPINE"	"OROXYPROPINE"
"R05DB18"	"PRENOXDIAZINE"	"PRENOXDIAZINE"
"R05DB19"	"DROPROPIZINE"	"DROPROPIZINE"
"R05DB20"	"COMBINATIONS"	"ASSOCIATIONS"
"R05DB21"	"CLOPERASTINE"	"CLOPERASTINE"
"R05DB22"	"MEPROTIXOL"	"MEPROTIXOL"
"R05DB23"	"PIPERIDIONE"	"PIPERIDIONE"
"R05DB24"	"TIPEPIDINE"	"TIPEPIDINE"
"R05DB25"	"MORCLOFONE"	"MORCLOFONE"
"R05DB26"	"NEPINALONE"	"NEPINALONE"
"R05DB27"	"LEVODROPROPIZINE"	"LEVODROPROPIZINE"
"R05F"	"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS"	"ANTITUSSIFS ET EXPECTORANTS EN ASSOCIATION"
"R05FA"	"OPIUM DERIVATIVES AND EXPECTORANTS"	"DERIVES DE L'OPIUM ET EXPECTORANTS"
"R05FA01"	"OPIUM DERIVATIVES AND MUCOLYTICS"	"DERIVES DE L'OPIUM ET MUCOLYTIQUES"
"R05FA02"	"OPIUM DERIVATIVES AND EXPECTORANTS"	"DERIVES DE L'OPIUM ET EXPECTORANTS"
"R05FB"	"OTHER COUGH SUPPRESSANTS AND EXPECTORANTS"	"AUTRES ANTITUSSIFS ET EXPECTORANTS"
"R05FB01"	"COUGH SUPPRESSANTS AND MUCOLYTICS"	"ANTITUSSIFS ET MUCOLYTIQUES"
"R05FB02"	"COUGH SUPPRESSANTS AND EXPECTORANTS"	"ANTITUSSIFS ET EXPECTORANTS"
"R05X"	"OTHER COLD COMBINATION PREPARATIONS"	"AUTRES MEDICAMENTS DU RHUME"
"R06"	"ANTIHISTAMINES FOR SYSTEMIC USE"	"ANTIHISTAMINIQUES A USAGE SYSTEMIQUE"
"R06A"	"ANTIHISTAMINES FOR SYSTEMIC USE"	"ANTIHISTAMINIQUE A USAGE SYSTEMIQUE"
"R06AA"	"AMINOALKYL ETHERS"	"ETHERS AMINOALKYLES"
"R06AA01"	"BROMAZINE"	"BROMAZINE"
"R06AA02"	"DIPHENHYDRAMINE"	"DIPHENHYDRAMINE"
"R06AA04"	"CLEMASTINE"	"CLEMASTINE"
"R06AA06"	"CHLORPHENOXAMINE"	"CHLORPHENOXAMINE"
"R06AA07"	"DIPHENYLPYRALINE"	"DIPHENYLPYRALINE"
"R06AA08"	"CARBINOXAMINE"	"CARBINOXAMINE"
"R06AA09"	"DOXYLAMINE"	"DOXYLAMINE"
"R06AA52"	"DIPHENHYDRAMINE, COMBINATIONS"	"DIPHENHYDRAMINE EN ASSOCIATION"
"R06AA54"	"CLEMASTINE, COMBINATIONS"	"CLEMASTINE EN ASSOCIATION"
"R06AA56"	"CHLORPHENOXAMINE, COMBINATIONS"	"CHLORPHENOXAMINE EN ASSOCATION"
"R06AA57"	"DIPHENYLPYRALINE, COMBINATIONS"	"DIPHENYLPYRALINE EN ASSOCIATION"
"R06AB"	"SUBSTITUTED ALKYLAMINES"	"ALKYLAMINES SUBSTITUEES"
"R06AB01"	"BROMPHENIRAMINE"	"BROMPHENIRAMINE"
"R06AB02"	"DEXCHLORPHENIRAMINE"	"DEXCHLORPHENIRAMINE"
"R06AB03"	"DIMETINDENE"	"DIMETINDENE"
"R06AB04"	"CHLORPHENAMINE"	"CHLORPHENAMINE"
"R06AB05"	"PHENIRAMINE"	"PHENIRAMINE"
"R06AB06"	"DEXBROMPHENIRAMINE"	"DEXBROMPHENIRAMINE"
"R06AB07"	"TALASTINE"	"TALASTINE"
"R06AB51"	"BROMPHENIRAMINE, COMBINATIONS"	"BROMPHENIRAMINE EN ASSOCIATION"
"R06AB52"	"DEXCHLORPHENIRAMINE, COMBINATIONS"	"DEXCHLORPHENIRAMINE EN ASSOCIATION"
"R06AB54"	"CHLORPHENAMINE, COMBINATIONS"	"CHLORPHENAMINE EN ASSOCIATION"
"R06AB56"	"DEXBROMPHENIRAMINE, COMBINATIONS"	"DEXBROMPHENIRAMINE EN ASSOCIATION"
"R06AC"	"SUBSTITUTED ETHYLENE DIAMINES"	"ETHYLENE DIAMINES SUBSTITUEES"
"R06AC01"	"MEPYRAMINE"	"MEPYRAMINE"
"R06AC02"	"HISTAPYRRODINE"	"HISTAPYRRODINE"
"R06AC03"	"CHLOROPYRAMINE"	"CHLOROPYRAMINE"
"R06AC04"	"TRIPELENNAMINE"	"TRIPELENNAMINE"
"R06AC05"	"METHAPYRILENE"	"METHAPYRILENE"
"R06AC06"	"THONZYLAMINE"	"THONZYLAMINE"
"R06AC52"	"HISTAPYRRODINE, COMBINATIONS"	"HISTAPYRRODINE EN ASSOCIATION"
"R06AC53"	"CHLOROPYRAMINE, COMBINATIONS"	"CHLOROPYRAMINE EN ASSOCIATION"
"R06AD"	"PHENOTHIAZINE DERIVATIVES"	"DERIVES DE LA PHENOTHIAZINE"
"R06AD01"	"ALIMEMAZINE"	"ALIMEMAZINE"
"R06AD02"	"PROMETHAZINE"	"PROMETHAZINE"
"R06AD03"	"THIETHYLPERAZINE"	"THIETHYLPERAZINE"
"R06AD04"	"METHDILAZINE"	"METHDILAZINE"
"R06AD05"	"HYDROXYETHYLPROMETHAZINE"	"HYDROXYETHYLPROMETHAZINE"
"R06AD06"	"THIAZINAM"	"THIAZINAM"
"R06AD07"	"MEQUITAZINE"	"MEQUITAZINE"
"R06AD08"	"OXOMEMAZINE"	"OXOMEMAZINE"
"R06AD09"	"ISOTHIPENDYL"	"ISOTHIPENDYL"
"R06AD52"	"PROMETHAZINE, COMBINATIONS"	"PROMETHAZINE EN ASSOCIATION"
"R06AD55"	"HYDROXYETHYLPROMETHAZINE, COMBINATIONS"	"HYDROXYETHYLPROMETHAZINE EN ASSOCIATION"
"R06AE"	"PIPERAZINE DERIVATIVES"	"DERIVES DE LA PIPERAZINE"
"R06AE01"	"BUCLIZINE"	"BUCLIZINE"
"R06AE03"	"CYCLIZINE"	"CYCLIZINE"
"R06AE04"	"CHLORCYCLIZINE"	"CHLORCYCLIZINE"
"R06AE05"	"MECLOZINE"	"MECLOZINE"
"R06AE06"	"OXATOMIDE"	"OXATOMIDE"
"R06AE07"	"CETIRIZINE"	"CETIRIZINE"
"R06AE08"	"LEVOCETIRIZINE"	"LEVOCETIRIZINE"
"R06AE51"	"BUCLIZINE, COMBINATIONS"	"BUCLIZINE EN ASSOCIATION"
"R06AE53"	"CYCLIZINE, COMBINATIONS"	"CYCLIZINE EN ASSOCIATION"
"R06AE55"	"MECLOZINE, COMBINATIONS"	"MECLOZINE EN ASSOCIATION"
"R06AK"	"COMBINATIONS OF ANTIHISTAMINES"	"ASSOCIATIONS D'ANTIHISTAMINIQUES"
"R06AX"	"OTHER ANTIHISTAMINES FOR SYSTEMIC USE"	"AUTRES ANTIHISTAMINIQUES A USAGE SYSTEMIQUE"
"R06AX01"	"BAMIPINE"	"BAMIPINE"
"R06AX02"	"CYPROHEPTADINE"	"CYPROHEPTADINE"
"R06AX03"	"THENALIDINE"	"THENALIDINE"
"R06AX04"	"PHENINDAMINE"	"PHENINDAMINE"
"R06AX05"	"ANTAZOLINE"	"ANTAZOLINE"
"R06AX07"	"TRIPROLIDINE"	"TRIPROLIDINE"
"R06AX08"	"PYRROBUTAMINE"	"PYRROBUTAMINE"
"R06AX09"	"AZATADINE"	"AZATADINE"
"R06AX11"	"ASTEMIZOLE"	"ASTEMIZOLE"
"R06AX12"	"TERFENADINE"	"TERFENADINE"
"R06AX13"	"LORATADINE"	"LORATADINE"
"R06AX15"	"MEBHYDROLIN"	"MEBHYDROLINE"
"R06AX16"	"DEPTROPINE"	"DEPTROPINE"
"R06AX17"	"KETOTIFEN"	"KETOTIFENE"
"R06AX18"	"ACRIVASTINE"	"ACRIVASTINE"
"R06AX19"	"AZELASTINE"	"AZELASTINE"
"R06AX21"	"TRITOQUALINE"	"TRITOQUALINE"
"R06AX22"	"EBASTINE"	"EBASTINE"
"R06AX23"	"PIMETHIXENE"	"PIMETHIXENE"
"R06AX24"	"EPINASTINE"	"EPINASTINE"
"R06AX25"	"MIZOLASTINE"	"MIZOLASTINE"
"R06AX26"	"FEXOFENADINE"	"FEXOFENADINE"
"R06AX27"	"DESLORATADINE"	"DESLORATADINE"
"R06AX28"	"RUPATADINE"	"RUPATADINE"
"R06AX53"	"THENALIDINE, COMBINATIONS"	"THENALIDINE EN ASSOCIATION"
"R06AX58"	"PYRROBUTAMINE, COMBINATIONS"	"PYRROBUTAMINE EN ASSOCIATION"
"R07"	"OTHER RESPIRATORY SYSTEM PRODUCTS"	"AUTRES MEDICAMENTS DE L'APPAREIL RESPIRATOIRE"
"R07A"	"OTHER RESPIRATORY SYSTEM PRODUCTS"	"AUTRE MEDICAMENT DE L'APPAREIL RESPIRATOIRE"
"R07AA"	"LUNG SURFACTANTS"	"SURFACTANTS PULMONAIRES"
"R07AA01"	"COLFOSCERIL PALMITATE"	"PALMITATE DE COLFOSCERIL"
"R07AA02"	"NATURAL PHOSPHOLIPIDS"	"PHOSPHOLIPIDES NATURELS"
"R07AA30"	"COMBINATIONS"	"ASSOCIATIONS"
"R07AB"	"RESPIRATORY STIMULANTS"	"STIMULANTS RESPIRATOIRES"
"R07AB01"	"DOXAPRAM"	"DOXAPRAM"
"R07AB02"	"NIKETHAMIDE"	"NIKETHAMIDE"
"R07AB03"	"PENTETRAZOL"	"PENTETRAZOL"
"R07AB04"	"ETAMIVAN"	"ETAMIVAN"
"R07AB05"	"BEMEGRIDE"	"BEMEGRIDE"
"R07AB06"	"PRETHCAMIDE"	"PRETHCAMIDE"
"R07AB07"	"ALMITRINE"	"ALMITRINE"
"R07AB08"	"DIMEFLINE"	"DIMEFLINE"
"R07AB09"	"MEPIXANOX"	"MEPIXANOX"
"R07AB52"	"NIKETHAMIDE, COMBINATIONS"	"NIKETHAMIDE EN ASSOCIATION"
"R07AB53"	"PENTETRAZOL, COMBINATIONS"	"PENTETRAZOL EN ASSOCIATION"
"R07AX"	"OTHER RESPIRATORY SYSTEM PRODUCTS"	"AUTRES MEDICAMENTS DU SYSTEME RESPIRATOIRE"
"R07AX01"	"NITRIC OXIDE"	"MONOXYDE D'AZOTE"
"S"	"SENSORY ORGANS"	"ORGANES SENSORIELS"
"S01"	"OPHTHALMOLOGICALS"	"MEDICAMENTS OPHTALMOLOGIQUES"
"S01A"	"ANTIINFECTIVES"	"ANTIINFECTIEUX"
"S01AA"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"S01AA01"	"CHLORAMPHENICOL"	"CHLORAMPHENICOL"
"S01AA02"	"CHLORTETRACYCLINE"	"CHLORTETRACYCLINE"
"S01AA03"	"NEOMYCIN"	"NEOMYCINE"
"S01AA04"	"OXYTETRACYCLINE"	"OXYTETRACYCLINE"
"S01AA05"	"TYROTHRICIN"	"TYROTHRICINE"
"S01AA07"	"FRAMYCETIN"	"FRAMYCETINE"
"S01AA09"	"TETRACYCLINE"	"TETRACYCLINE"
"S01AA10"	"NATAMYCIN"	"NATAMYCINE"
"S01AA11"	"GENTAMICIN"	"GENTAMICINE"
"S01AA12"	"TOBRAMYCIN"	"TOBRAMYCINE"
"S01AA13"	"FUSIDIC ACID"	"ACIDE FUSIDIQUE"
"S01AA14"	"BENZYLPENICILLIN"	"BENZYLPENICILLINE"
"S01AA15"	"DIHYDROSTREPTOMYCIN"	"DIHYDROSTREPTOMYCINE"
"S01AA16"	"RIFAMYCINE"	"RIFAMYCINE"
"S01AA17"	"ERYTHROMYCIN"	"ERYTHROMYCINE"
"S01AA18"	"POLYMYXIN B"	"POLYMYXINE B"
"S01AA19"	"AMPICILLIN"	"AMPICILLINE"
"S01AA20"	"ANTIBIOTICS IN COMBINATION WITH OTHER DRUGS"	"ANTIBIOTIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES"
"S01AA21"	"AMIKACIN"	"AMIKACINE"
"S01AA22"	"MICRONOMICIN"	"MICRONOMICINE"
"S01AA23"	"NETILMICIN"	"NETILMICINE"
"S01AA24"	"KANAMYCIN"	"KANAMYCINE"
"S01AA25"	"AZIDAMFENICOL"	"AZIDAMFENICOL"
"S01AA30"	"COMBINATIONS OF DIFFERENT ANTIBIOTICS"	"ASSOCIATION DE DIFFERENTS ANTIBIOTIQUES"
"S01AB"	"SULFONAMIDES"	"SULFAMIDES"
"S01AB01"	"SULFAMETHIZOLE"	"SULFAMETHIZOLE"
"S01AB02"	"SULFAFURAZOLE"	"SULFAFURAZOLE"
"S01AB03"	"SULFADICRAMIDE"	"SULFADICRAMIDE"
"S01AB04"	"SULFACETAMIDE"	"SULFACETAMIDE"
"S01AB05"	"SULFAFENAZOL"	"SULFAFENAZOL"
"S01AD"	"ANTIVIRALS"	"ANTIVIRAUX"
"S01AD01"	"IDOXURIDINE"	"IDOXURIDINE"
"S01AD02"	"TRIFLURIDINE"	"TRIFLURIDINE"
"S01AD03"	"ACICLOVIR"	"ACICLOVIR"
"S01AD05"	"INTERFERON"	"INTERFERON"
"S01AD06"	"VIDARABINE"	"VIDARABINE"
"S01AD07"	"FAMCICLOVIR"	"FAMCICLOVIR"
"S01AD08"	"FOMIVIRSEN"	"FOMIVIRSEN"
"S01AD09"	"GANCICLOVIR"	"GANCICLOVIR"
"S01AX"	"OTHER ANTIINFECTIVES"	"AUTRES ANTIINFECTIEUX"
"S01AX01"	"MERCURY COMPOUNDS"	"COMPOSES MERCURIELS"
"S01AX02"	"SILVER COMPOUNDS"	"COMPOSES ARGENTIQUES"
"S01AX03"	"ZINC COMPOUNDS"	"COMPOSES ZINCIFERES"
"S01AX04"	"NITROFURAL"	"NITROFURAZONE"
"S01AX05"	"BIBROCATHOL"	"BIBROCATHOL"
"S01AX06"	"RESORCINOL"	"RESORCINOL"
"S01AX07"	"SODIUM BORATE"	"BORATE DE SODIUM"
"S01AX08"	"HEXAMIDINE"	"HEXAMIDINE"
"S01AX09"	"CHLORHEXIDINE"	"CHLORHEXIDINE"
"S01AX10"	"SODIUM PROPIONATE"	"PROPIONATE DE SODIUM"
"S01AX11"	"OFLOXACIN"	"OFLOXACINE"
"S01AX12"	"NORFLOXACIN"	"NORFLOXACINE"
"S01AX13"	"CIPROFLOXACIN"	"CIPROFLOXACINE"
"S01AX14"	"DIBROMPROPAMIDINE"	"DIBROMPROPAMIDINE"
"S01AX15"	"PROPAMIDINE"	"PROPAMIDINE"
"S01AX16"	"PICLOXYDINE"	"PICLOXYDINE"
"S01AX17"	"LOMEFLOXACIN"	"LOMEFLOXACINE"
"S01AX18"	"POVIDONE-IODINE"	"POVIDONE IODEE"
"S01AX19"	"LEVOFLOXACIN"	"LEVOFLOXACINE"
"S01B"	"ANTIINFLAMMATORY AGENTS"	"ANTIINFLAMMATOIRES"
"S01BA"	"CORTICOSTEROIDS, PLAIN"	"CORTICOIDES NON ASSOCIES"
"S01BA01"	"DEXAMETHASONE"	"DEXAMETHASONE"
"S01BA02"	"HYDROCORTISONE"	"HYDROCORTISONE"
"S01BA03"	"CORTISONE"	"CORTISONE"
"S01BA04"	"PREDNISOLONE"	"PREDNISOLONE"
"S01BA05"	"TRIAMCINOLONE"	"TRIAMCINOLONE"
"S01BA06"	"BETAMETHASONE"	"BETAMETHASONE"
"S01BA07"	"FLUOROMETHOLONE"	"FLUOROMETHOLONE"
"S01BA08"	"MEDRYSONE"	"MEDRYSONE"
"S01BA09"	"CLOBETASONE"	"CLOBETASONE"
"S01BA10"	"ALCLOMETASONE"	"ALCLOMETASONE"
"S01BA11"	"DESONIDE"	"DESONIDE"
"S01BA12"	"FORMOCORTAL"	"FORMOCORTAL"
"S01BA13"	"RIMEXOLONE"	"RIMEXOLONE"
"S01BB"	"CORTICOSTEROIDS AND MYDRIATICS IN COMBINATION"	"CORTICOIDES ET MYDRIATIQUES EN ASSOCIATION"
"S01BB01"	"HYDROCORTISONE AND MYDRIATICS"	"HYDROCORTISONE ET MYDRIATIQUES"
"S01BB02"	"PREDNISOLONE AND MYDRIATICS"	"PREDNISOLONE ET MYDRIATIQUES"
"S01BB03"	"FLUOROMETHOLONE AND MYDRIATICS"	"FLUOROMETHOLONE ET MYDRIATIQUES"
"S01BB04"	"BETAMETHASONE AND MYDRIATICS"	"BETAMETHASONE ET MYDRIATIQUES"
"S01BC"	"ANTIINFLAMMATORY AGENTS, NON-STEROIDS"	"ANTIINFLAMMATOIRES NON STEROIDIENS"
"S01BC01"	"INDOMETACIN"	"INDOMETACINE"
"S01BC02"	"OXYPHENBUTAZONE"	"OXYPHENBUTAZONE"
"S01BC03"	"DICLOFENAC"	"DICLOFENAC"
"S01BC04"	"FLURBIPROFEN"	"FLURBIPROFENE"
"S01BC05"	"KETOROLAC"	"KETOROLAC"
"S01BC06"	"PIROXICAM"	"PIROXICAM"
"S01BC07"	"BENDAZAC"	"BENDAZAC"
"S01BC08"	"SALICYLIC ACID"	"ACIDE SALICYLIQUE"
"S01BC09"	"PRANOPROFEN"	"PRANOPROFENE"
"S01C"	"ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION"	"ANTIINFLAMMATOIRES ET ANTIINFECTIEUX EN ASSOCIATION"
"S01CA"	"CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION"	"CORTICOIDES ET ANTIINFECTIEUX EN ASSOCIATION"
"S01CA01"	"DEXAMETHASONE AND ANTIINFECTIVES"	"DEXAMETHASONE ET ANTIINFECTIEUX"
"S01CA02"	"PREDNISOLONE AND ANTIINFECTIVES"	"PREDNISOLONE ET ANTIINFECTIEUX"
"S01CA03"	"HYDROCORTISONE AND ANTIINFECTIVES"	"HYDROCORTISONE ET ANTIINFECTIEUX"
"S01CA04"	"FLUOCORTOLONE AND ANTIINFECTIVES"	"FLUOCORTOLONE ET ANTIINFECTIEUX"
"S01CA05"	"BETAMETHASONE AND ANTIINFECTIVES"	"BETAMETHASONE ET ANTIINFECTIEUX"
"S01CA06"	"FLUDROCORTISONE AND ANTIINFECTIVES"	"FLUDROCORTISONE ET ANTIINFECTIEUX"
"S01CA07"	"FLUOROMETHOLONE AND ANTIINFECTIVES"	"FLUOROMETHOLONE ET ANTIINFECTIEUX"
"S01CA08"	"METHYLPREDNISOLONE AND ANTIINFECTIVES"	"METHYLPREDNISOLONE ET ANTIINFECTIEUX"
"S01CA09"	"CHLOROPREDNISONE AND ANTIINFECTIVES"	"CHLOROPREDNISONE ET ANTIINFECTIEUX"
"S01CA10"	"FLUOCINOLONE ACETONIDE AND ANTIINFECTIVES"	"FLUOCINOLONE ACETONIDE ET ANTIINFECTIEUX"
